. ,,,,,,,,,,,,,,,,
FCU,,,,,,,,,,,,,,,,
Periode :,Maret - April,,,,,,,,,,,,,,,
List Service Unit HVAC,,,,,,,,,,,,,,,,
No.,Tanggal,Floor,Tenant / Area,Brand,Model,Jenis Unit,Cetegory Finding,Finding,Rekomendasi,Dokumentasi,,,,,,
1,02 Maret 2026,L4,OFFICE JAYA KENCANA,MC QUAY,MCC50,FCU,"U Trap
Watermur
Filter","U trap tidak ada, water mur tidak ada, filter tidak ada",,,,,,,,
91,,L2,BALLY 003,DAIKIN,50BW,FCU,,unIt kurang elevasi,Perbaikan elevasi unit FCU,,,,,,,
92,,L2,BALLY 004,DAIKIN,50BW,FCU,,Water mur tidak ada,,,,,,,,
93,,L2,BALLY 005,DAIKIN,40BW,FCU,,Water mur tidak ada,,,,,,,,
94,,L2,AIGNER 001,TRANE,HCCA18,FCU,,"Bak drain keropos, water mur tidak ada, Filter udara tidak ada, u-trap tidak ada",,,,,,,,
95,,L2,AIGNER 002,MC QUAY,MCC50,FCU,,"Water mur tidak ada,filter udara tidak ada",,,,,,,,
96,,L5,WOLF GENG 003,TRANE,HCCA24,FCU,,Bak drain keropos,,,,,,,,
97,,L5,WOLF GENG 004,TRANE,HCCA24,FCU,,,,,,,,,,
98,11 Maret 2026,L2,TOM FORD,,,FCU,,,,,,,,,,
99,,L2,LACOSTE 001,TRANE,HCCA10,FCU,,"U-Trap tidak ada, Filter udara tidak ada, Water mur tidak ada.",,,,,,,,
100,,L2,LACOSTE 002,TRANE,HCCA10,FCU,,"Water mur tidak ada, Filterudara tidak ada",,,,,,,,
101,,L2,LACOSTE 003,TRANE,HCCA10,FCU,,"Water mur tidak ada, Filterudara tidak ada",,,,,,,,
102,,L2,MAKE UP FOR EVER 001,TRANE,HCCA10,FCU,,"Water mur tidak ada, Filterudara tidak ada",,,,,,,,
103,,L2,MAKE UP FOR EVER 002,MC QUAY,MDB75,FCU,,"Water mur tidak ada, Filterudara tidak ada",,,,,,,,
104,,L2,ONITSUKA TIGER 001,MC QUAY,MCC0,FCU,,Water mur tidak ada ,,,,,,,,
105,,L2,ONITSUKA TIGER 002,TRANE,HCCA24,FCU,,"U-trap tidak ada, water mur tidak ada, body unit korosif",,,,,,,,
106,,L2,TOILET KARYAWAN,TRANE ,HCCA10,FCU,,"U-Trap tidak ada, Filter udara tidak ada, Water mur tidak ada.",,,,,,,,
107,,L2,TOILET CUSTOMER BEBEK BENGIL,,,FCU,,,,,,,,,,
108,,L3,THE RR CHOCOLATE 001,YORK ,SBH 125 DW,FCU,,"Watermur tidak ada, V belt normal 1pcs B-42",,,,,,,,
109,,L3,THE RR CHOCOLATE 002,MC QUAY,MDB75,FCU,,"Water mur tidak ada, Filterudara tidak ada",,,,,,,,
110,,L5,WOLF GENG 005,DAIKIN,115BW,FCU,,Water mur tidak ada ,,,,,,,,
111,12 Maret 2026,L2,OYSHO 001,TRANE,HCCA10,FCU,,"U-trap tidak ada, water mur tidak ada, filter udara tidak ada",,,,,,,,
112,,L2,OYSHO 002,TRANE,HCCA18,FCU,,"U-trap tidak ada, water mur tidak ada, filter udara tidak ada",,,,,,,,
113,,L2,OYSHO 003,TRANE,HCCA10,FCU,,"U-trap tidak ada, water mur tidak ada, filter udara tidak ada",,,,,,,,
114,,L2,OYSHO 004,TRANE,HCCA14,FCU,Body Unit,"Body unit keropos, u-trap tidak ada, water mur tidak ada",,,,,,,,
115,,L2,OYSHO 005,TRANE,HCCA10,FCU,,"Body unit keropos, evap sedikit rebah, U-trap tidak ada, water mur tidak ada",,,,,,,,
116,,L2,OYSHO 006,TRANE,HCCA18,FCU,Evap Rebah,"Body unit keropos dan banyak evap yang rebah, U-trap tidak ada, water mur tidak ada",Perbaikan evap yang rebah,,,,,,,
117,,L2,OYSHO 007,TRANE,HCCA18,FCU,,Cover body unit bagian bawah sudah tidak rapat. Water mur tidak ada,Penggantiancover body unit,,,,,,,
118,,L2,CLEDEPEAUE NO.1 L2,TRANE,HCCA10,FCU,,"U-trap tidak ada, water mur tidak ada, filter udara tidak ada",,,,,,,,
119,,L2,CLEDEPEAUE NO.2 L2,TRANE,HCCA10,FCU,,"U-trap tidak ada, water mur tidak ada, filter udara tidak ada",,,,,,,,
120,,L2,CLEDEPEAUE NO.3 L2,TRANE,HCCA10,FCU,,"U-trap tidak ada, water mur tidak ada, filter udara tidak ada",,,,,,,,
121,,L2,LAMER L2,MC QUAY,MCC30,FCU,,"Filter udara tidak ada, Water mur tidak ada",,,,,,,,
122,,L2,PUMA L2,,,FCU,,,,,,,,,,
123, 13 Maret 2026,L2,TOM FORD 001,YORK ,SBH 50 DW,FCU,,"Water mur tidak ada, filter udara tidakada",,,,,,,,
124,,L4,GYUKAKU PRIME 001,,,FCU,,,,,,,,,,
125,,L4,GYUKAKU PRIME 002,,,FCU,,,,,,,,,,
126,,L4,GYUKAKU PRIME 003,,,FCU,,,,,,,,,,
127,,L2,AMARIS,MC QUAY,MCC 60,FCU,,"Water mur tidak ada, Air venting tidak ada",,,,,,,,
128,,L3,ELC,MC QUAY,MCC 60,FCU,,Water mur tidak ada ,,,,,,,,
129,,L3,STAR DIAMOND,MC QUAY,MCC 60,FCU,,"U-trap tidak ada, water mur tidak ada",,,,,,,,
130,,L3,BIMBI 001,DAIKIN,DDB 50 BW,FCU,,"Water mur tidak ada, Filter udara tidak ada",,,,,,,,
131,,L3,BIMBI 002,AICOOL,FC 24 ,FCU,,"Water mur tidak ada, Airventing tidak ada",,,,,,,,
132,,L3,BIMBI 003,DAIKIN,DDB 60 BW,FCU,,,,,,,,,,
133,,L5,R. CHILLER ,YORK ,SBH 75 DW,FCU,,Water mur tidak ada,,,,,,,,
134,,L3,MUSIQUE ,MC QUAY,MDB 75,FCU,,,,,,,,,,
135,,L3,SOUP RESTAURANT 001,YORK ,SBH 100 DW,FCU,,Water mur tidak ada,,,,,,,,
136,14 Maret 2026,L2,ARMANI ,,,FCU,,,,,,,,,,
137,,L2,PUMA,,,FCU,,,,,,,,,,
138,,L3,OPTIK SEIS 001,MC QUAY,MCC 30,FCU,,"Filter udara tidak ada, Water mur tidak ada",,,,,,,,
139,,L3,OPTIK SEIS 002,MC QUAY,MCC 30,FCU,,"Filter udara tidak ada, Water mur tidak ada",,,,,,,,
140,,L3,ZEIS VIXION CENTER 001,,,FCU,,,,,,,,,,
141,,L3,ZEIS VIXION CENTER 002,,,FCU,,,,,,,,,,
142,,L3,OPTIK MELAWAI ,MC QUAY,MDB 75,FCU,,,,,,,,,,
143,,L3,SUMERTIDE L3,MC QUAY,MCW 1200,FCU,,Water mur tidak ada,,,,,,,,
144,,L3,IBOX 001,,,FCU,,,,,,,,,,
145,,L3,IBOX 002,MC QUAY,MDB 75,FCU,,"Water mur tidak ada, Filter udara tidak ada",,,,,,,,
146,,L3,IBOX 003,MC QUAY,MCC 60,FCU,,"Water mur tidak ada, Filter udara tidak ada",,,,,,,,
147,,L3,IBOX 004,MC QUAY,MCC 60,FCU,,"Water mur tidak ada, Airventing tidak ada",,,,,,,,
148,15 Maret 2026,L2,MASSIMO DUTI 001,,,FCU,,,,,,,,,,
149,,L2,MASSIMO DUTI 002,,,FCU,,,,,,,,,,
150,,L2,MASSIMO DUTI 003,,,FCU,,,,,,,,,,
151,,L2,MASSIMO DUTI 004,,,FCU,,,,,,,,,,
152,,L2,MASSIMO DUTI 005,,,FCU,,,,,,,,,,
153,,L2,MASSIMO DUTI 006,,,FCU,,,,,,,,,,
154,,L2,MASSIMO DUTI 007,,,FCU,,,,,,,,,,
155,,L2,MASSIMO DUTI 008,,,FCU,,,,,,,,,,
156,,L2,MASSIMO DUTI 009,,,FCU,,,,,,,,,,
157,,L2,MASSIMO DUTI 010,,,FCU,,,,,,,,,,
158,,L2,MASSIMO DUTI 011,,,FCU,,,,,,,,,,
159,,L2,MASSIMO DUTI 012,,,FCU,,,,,,,,,,
160,16 Maret 2026,L3,CORD LIFT BARANG PIE ,MC QUAY,MCC40,FCU,,"AC FCU Model: MC QUAY MCC40 kondisi unit tidak ada motornya, sehingga tidak dilakukan service rutin ",,,,,,,,
161,,L3,TOILET BABY CHANGE ,TRANE,HCCA24,FCU,,,,,,,,,,
162,,L3,OAD KIDS 001,DAIKIN,50BW,FCU,,Water mur tidak ada,,,,,,,,
163,,L3,OAD KIDS 002,TRANE,HCCA14,FCU,,Water mur tidak ada,,,,,,,,
164,,L3,OAD KIDS 003,,,FCU,,,,,,,,,,
165,,L3,ADIDAS KIDS 001,TRANE ,HCCA18,FCU,,"Water mur tidak ada, Filter udara tidak ada, air venting tidak ada, kontraktor rusak",,,,,,,,
166,,L3,ADIDAS KIDS 002,TRANE ,HCCA18,FCU,,"U-trap tidak ada, water mur tidak ada, filter udara tidak ada",,,,,,,,
167,,L3,ADIDAS KIDS 003,TRANE,HCCA18,FCU,,"U-trap tidak ada, Water mur tidak ada, Filter udara tidak ada, bearing motor bunyi",,,,,,,,
168,,L3,CARTER'S AND SMIGGLE 001,TRANE,HCCA18,FCU,,"Body unit dan bak drain korosif, water mur tidak ada",,,,,,,,
169,,L3,CARTER'S AND SMIGGLE 002,TRANE,HCCA18,FCU,,"U-trap tidak ada, water mur tidak ada, body unit korosif",,,,,,,,
170,,L3,PETIT BETEAU 001,TRANE,HCCA14,FCU,,Water mur tidak ada,,,,,,,,
171,,L3,PETIT BETEAU 002,TRANE,HCCA18,FCU,,"Water mur tidak ada, Airventing tidak ada",,,,,,,,
