Source: https://docs.google.com/spreadsheets/d/1BvEiTJVE7np-FOoj2qPwpvIGKJneQHX3VoA6LgKcM8k/export?format=csv

---

Control+A,,,,,,,,,,,,,,,,,,A:Z,,,,,,,
,No,Tanggal,Jam Complaint,Lantai,Jenis Unit,Tag No.,Brand,Model,Nama Teknisi,Nama Supervisor,Kategori ,Root Cause Analysis,Corrective Action,Rekomendasi,Last PM,Status,,Tenant / Area,,,,,,,
,194,11 April 2026,10.47,L3,FCU,,,,,,AC Noise,hasil pengecekan ac noise no 3 disebakan karena bearing motor fan,Pengecekan sumber Noise,Penggantian Fan Motor merk MC QUAY MDB 75,,Pending,,MO - MO PARADISE,,,,,,,
,195,11 April 2026,12.15,L2,FCU,,,,,,AC Mati,Hasil pengecekan Thermostat terbakar,Pengecekan Thermostat,Penggantian Thermostat,,Pending,,SUSHI HIRO,,,,,,,
21,196,11 April 2026,14.00,L3,FCU,,,,,,Non AC,"Hasil pengecekan kebocoran bukan berasal dari unit AC, Melainkan dari tetesan kondensasi Pipa Chiller yang sudah jenuh",Pengecekan sumber kebocoran dan bantu pemakuman,pergantian isolasi pipa chiller,,Done,,PETER F SAERANG,,,,,,,
,197,11 April 2026,16.49,L3,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp R. Tengah : 22,6 (Diff Temp 15,7), R. Kiri 22,5 (Diff Temp 13,5), R. Kanan 22,6 (Diff Temp 13,8) dan Area Kasir 22,0 (Diff Temp 15,4)",pengecekan temperatur area,,,Done,,RR CHOCOLATE,,,,,,,
,198,11 April 2026,18.31,L2,FCU,,,,,,AC Mati,"hasil pengecekan ac susah di nyalakan thermostat ON/OFF nya keras dan MCB trip di sebab kan dari thermostat main speed no 2 bermasalah, 
Dan sudah di coba di pindah kan ke speed no 1 dan unit sudah runing kembali
Area depan diff :17, 5°c room :20,7°c area tengah diff : 15,9°c room : 20,9°c area belakang diff : 15,1°c room : 20,9°c",pengecekan temperatur area,pergantian thermostat ,,Pending,,BEBEK BENGIL,,,,,,,
,199,11 April 2026,20.49,L1,FCU,,,,,,Ruangan Panas,"hasil pengecekan ac panas kondisi thermostat tidak di nyalakan oleh pihak tenant nya, dan untuk pengecekan  area dengan hasil ukur temperatur , sebagai berikut
Area depan R. Kaca diff : 12,8°c room : 22,3°c area tengah diff : 17,3°c room :22, 5°c area kanan diff :16, 6°c room : 22,5°c area depan chasier diff :11,8°c room : 22,7°c",pengecekan temperatur area,,,Done,,CORK & SCREW,,,,,,,
22,200,12 April 2026,10.30,L3,FCU,,,,,,Ruangan Panas,"Hasil pengecekan ac fcu over current karena speed motor ke body sudah short, R. Depan kanan 23,0 (Diff Temp 17,4), R. Depan kiri 23,0 (Diff Tempn15,1), R. Tengah 23,4 (Diff Temp 19,3), R. Belakang 24,4 (Diff Temp 16,9), R. Mandi bola 22,8 (Diff Temp 17,5) dan Mini Atrium 22,8 (Diff Temp 17,4)",pengecekan unit AC dan  temperatur area ,Penggantian Fan Motor TRANE HCCA 24,,Pending,,MINIAPOLISH,,,,,,,

,201,12 April 2026,10.56,L3,FCU,,,,,,Ruangan Panas,"hasil pengecekan ac panas disebabkan pantulan cahaya dari luar melui kaca,  unit ac runing semua, dan untuk pengecekan  area dengan hasil ukur temperatur , sebagai berikut
Smile 7.. diff : 16,2°c room : 24,2°c
Smile 9..diff : 18,6°c room : 23,9 
Smile 10.. diff : 19,1°c room : 23,9°c
Area depan kanan..diff: 17,4
 Room: 22,8
Area depan kiri..diff: 17,0
Room: 21,4",pengecekan temperatur area,,,Done,,YAMAHA MUSIC,,,,,,,
23,202,12 April 2026,11.13,L3,FCU,,,,,,Non AC,"Hasil pengecekan kebocoran bukan berasal dari unit AC, Melainkan dari rembesan sparing pipa air kotor",Bantu Vacum dan Konfirmasi BM,,,Done,,TOILET KARYAWAN,,,,,,,
,203,12 April 2026,11.25,L6,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp 24,7 (Diff Temp 18,5), 1 unit no 002 Fan Motor Short Body",pengecekan temperatur area dan pengecekan unit,Penggantian Fan Motor MC QUAY MDB 75 (Penggantian motor sudah dilakukan Tgl. 29 April 26,,Done,,CORRIDOR CINEMA XXI,,,,,,,
,204,12 April 2026,12.40,L4,FCU,,,,,,Ruangan Panas,"hasil pengecekan ac panas di sebabkan dakting bolong/rusak dan telah di lakukan perbaikan,,
‎hasil cek temperature 
‎area depan : 22,0 c  DIFF : 15,6 c
‎area tengah : 22,3 c  DIFF : 16,8 c
‎area semi room : 22,4 c  DIFF  : 17,3 c
‎area vip 1 : 22,4 c   DIFF : 18,1 c
‎area vip 2 : 21,6 c  DIFF : 18,2 c
‎area vip 3 : 22,8 c  DIFF : 18,8  c    ",pengecekan temperatur area dan perbaikan dakting yang bolong ,,,Done,,SAMWON GARDEN,,,,,,,
24,205,12 April 2026,13.05,L5,FCU,,,,,,Non AC,Hasil pengecekan MCB unit AC Split Duct milik Tenant Trip,"Bersama Team BM menaikan kembali MCB, kondisi saat ini unit AC sudah beroperasi kembali",,,Done,,WOLFGANG,,,,,,,
,206,12 April 2026,13.33,L5,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp 23,5 (Diff Temp 17,4) dan kondisi unit kotor",Pengecekan Temperature dan pengecekan unit AC,Jadwlakan PM unit AC FCU,,Pending,,STEAK 21,,,,,,,
,207,12 April 2026,"16,34",L1,FCU,,,,,,AC Noise,Hasil pengecekan sumber Noise berasal dari tutup duting return yang kurang rapat,Perbaikan dengan merapatkan kembali tutup Ducting Return,,,Done,,CHOPARD,,,,,,,
25,208,12 April 2026,17.14,L5,FCU,,,,,,Non AC,"sudah di lakukan kordinasi sama pihak tenan perihal AC mati tetapi pihak tenan tidak complain AC mati,,pihak tenan complain kebocoran dari air hujan ",Konfirmasi BM,,,Done,,SEIROCK-YA RAMEN,,,,,,,
,209,12 April 2026,19.36,LB,FCU,,,,,,AC Mati,"Hasil pengecekan unit AC ON, akan tetapi Flow Supply diffuser keluar kecil. penyebabnya karena tutup ductting supply akses service terbuka, dan cover bagian bawah nya keropos/bolong ","Ducting Supply akses untuk service ditutup kembali, kondisi saat ini Flow Supply sudah normal",pergantian cover bagian bawah yang sudah keropos/bolong,,Done,,HAGENDAZ,,,,,,,
,210,13 April 2026,10.41,L3,FCU,,,,,,AC Mati,hasil pengecekan ac trip mdb 75 karena short,pengecekan di mcb dan release kabel tersebut,Penggantian Fan Motor MC QUAY MDB 75,,Pending,,IBOX,,,,,,,
,211,13 April 2026,12.20,L3,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp R. Tengah : 22,1 (Diff Temp 11,3), R. Kiri 21,9 (Diff Temp 11,8), dan Area Kasir 22,5 (Diff Temp 10,3)",pengecekan temperatur area,,,Done,,RR CHOCOLATE,,,,,,,
26,212,13 April 2026,12.39,L1,FCU,,,,,,Ruangan Panas,"hasil pengecekan temperatur area, 
Area depan kiri diff : 21,1°c room : 23,0°c
Area depan kanan diff : 21,5°c room : 23,2°c
Area depan tengah diff : 21, 5°c room : 23,3°c
Area belakang diff : 21,1°c room : 23,2°c ",pengecekan temperatur area,"pengecekan ke unit, hari senin tgl 13 april 2026 jam 21:45 wib",,Done,,THE TIME PLACE,,,,,,,
,213,13 April 2026,13.11,L1,FCU,,,,,,Ruangan Panas,"hasil pengecekan ac panas
‎hasil cek temperature 
‎vip 23 : 21,6 c  DIFF : 15,6 c
‎vip 24 : 21,4 c. DIFF : 13,8 c",pengecekan temperatur area,,,Done,,SHABU - SHABU HOUSE,,,,,,,
27,214,13 April 2026,14.11,L3,FCU,,,,,,AC Bau,setelah di cek bau gosong berasal dari Fan Motor merk MC Quay MCC 40 resistance terlalu tinggi/ Overheat,pengecekan unit,Penggantian Fan Motor merk MC Quay MCC 40,,Pending,,MASSHIRO & CO,,,,,,,
,215,13 April 2026,14.49,LB,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp : 23,5 (Diff Temp 19,2)",pengecekan temperatur area,,,Done,,LOCK & LOCK,,,,,,,

28,216,13 April 2026,15.57,L5,FCU,,,,,,Kebocoran,"hasil pengecekan kebocoran di sebabkan unit kotor,sehingga air terbawa blower masuk ke ducting supply",pengecekan kebocoran dan sudah di keringan dan dilakukan pemakuman,Jadwlakan PM unit AC FCU,,Done,,LIFE WORK,,,,,,,
,217,13 April 2026,18.50,L1,FCU,,,,,,AC Noise,hasil pengecekan AC Noise disebabkan tutup box return kendor sehingga mengluarkan bunyi,sudah dilakukan perbaikan pada tutup box return tersebut dengan di kasih metalalizing,,,Done,,SHABU - SHABU HOUSE,,,,,,,
29,218,14 April 2026,09.04,LB,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp : R. Depan 22,9 (Diff Temp 19,0), R. Tengah 23,5 (Diff Temp 20,7) dan R. Belakang 23,6 (Diff Temp 20,8)",pengecekan temperatur area,,,Done,,STARBUCKS,,,,,,,
,219,14 April 2026,10.18,L1,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp : R. Depan 23,1 (Diff Temp 20,5), R. Tengah 22,3 (Diff Temp 21,1) ",pengecekan temperatur area,,,Done,,HUBLOT,,,,,,,
,220,14 April 2026,10.30,L5,FCU,,,,,,Ruangan Panas,,,,,,,SUSHI - TEI,,,,,,,
,221,14 April 2026,10.36,LB,FCU,,,,,,Ruangan Panas,,,,,,,GUARDIAN,,,,,,,
,222,14 April 2026,10.37,L1,FCU,,,,,,AC Mati,hasil pengecekan ac mati di sebab kan dari modul nya yg bermasalah/trouble ,pengecekan ac mati  dan untuk sementara kabel koneckan di bypass,penarikan kabel dan pergantian thermostat,,Pending,,SAINT LAURENT,,,,,,,
,223,14 April 2026,11.01,L1,FCU,,,,,,Non AC,"Hasil pengecekan settingan Thermostat diposisi Low, Room Temp 23,9 (Diff Temp 20,1)","Settingan Thermostat dirubah ke posisi High, Room Temp 22,7 (Diff Temp 18,0)",,,Done,,LONG CHAMP,,,,,,,
30,224,14 April 2026,11.09,L1,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp : R. Depan kanan  26.0 °C (Diff Temp 17.3 °C), R. Tengah 25.9 °C (Diff Temp 19.3 °C), R. Belakang 25.6 °C (Diff Temp 18.1 °C) dan Area Outdoor terbuka 30.0 °C",pengecekan temperatur area,,,Done,,CORK & SCREW,,,,,,,
,225,14 April 2026,11.27,P3,FCU,,,,,,AC Mati,,,,,,,R. MESIN LIFT 3 - 4,,,,,,,
,226,14 April 2026,11.36,L1,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp : R. Depan 23,2 (Diff Temp 16,5), R. VIP I (22,4 (Diff Temp 15,0), R. Kanan 21,8 (Diff Temp 17,3), R. VIP II (21,7 (Diff Temp 18,0) dan R. Tengah 21,7 (Diff Temp 16,5)",pengecekan temperatur area,,,Done,,BAAN MAISE,,,,,,,
,227,14 April 2026,12.42,LB,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp : 23,2 (Diff Temp 19,4)",pengecekan temperatur area,,,Done,,HAGENDAZ,,,,,,,
,228,14 April 2026,13.26,L2,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp : R. Tengah 23,6 (Diff Temp 18,8), R. Depan 23,6 (Diff Temp 17,0) dan Kasir 23,9 (Diff Temp 19,6)",pengecekan temperatur area,,,Done,,PAUL BAKERY,,,,,,,
,229,14 April 2026,16.05,L1,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp : R. VIP 23 (21,6) Diff Temp 15,6) dan R.VIP 24 (21,4) Diff Temp 13,8)",pengecekan temperatur area,,,Done,,SHABU - SHABU HOUSE,,,,,,,
,230,14 April 2026,20.18,L1,FCU,,,,,,Ruangan Panas,,,,,,,CORK & SCREW,,,,,,,
,231,14 April 2026,20.28,L3,FCU,,,,,,Ruangan Panas,Hasil pengecekan ac mati di sebab kan dari motor merk TRANE HCCA 24 terbakar dan tercium bau hangus di area motor,pengecekan ke unit  ,Penggantian Motor FCU merk TRANE HCCA 24,,Pending,,BAM SENJU,,,,,,,
,232,14 April 2026,21.25,L1,FCU,,,,,,Non AC,,,,,,,THE TIME PLACE,,,,,,,
31,233,15 April 2026,11.02,L3,FCU,,,,,,Kebocoran,Hasil pengecekan kebocoran berasal dari selang Bak Drain terlepas,Dilakukan pemakuman dan pemasangan kembali selang Bak Drain,,,Done,,BAM SENJU,,,,,,,
,234,15 April 2026,'13.18,L1,FCU,,,,,,Non AC,"kebocoran setelah di cek,bukan brasal dari unit AC.mlainkan berasal dari spairingan pipa air yg kotor",Pengecekan sumber kebocoran,,,Done,,BVLGARI,,,,,,,
,235,15 April 2026,13.36,L1,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp : R. Kiri 21,4 (Diff Temp 16,4), R. Tengah 21,3 (Diff Temp 19,2), R, Kanan 19,8 (Diff Temp 14,8), R. Belakang 19,5 (Diff Temp 17,5), Audemar 19,4 (Diff Temp 15,6)","Pengecekan temperatur area, ",,,Done,,THE TIME PLACE,,,,,,,
,236,15 April 2026,15.49,L1,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp : Kasir 21,4 (Diff Temp 16,7), Gudang 21,8 (Diff Temp 15,6), R Kiri 21,1 (Diff Temp 16,7) dan R. Kanan 21,1 (Diff Temp 16,7)","Pengecekan temperatur area, ",,,Done,,SAINT LAURENT BEAUTY,,,,,,,
,237,15 April 2026,17.22,L3,FCU,,,,,,Ruangan Panas,,,,,,,RR CHOCOLATE,,,,,,,

,238,15 April 2026,18.56,L1,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp 22,7 (Diff Temp 14,1), R. Depan 22,1 (Diff Temp 17,7), R. Tengah 22,3 (Diff Temp 15,4), Bar 17,3 (Diff Temp 10,0)","Pengecekan temperatur area, ",,,Done,,CORK & SCREW,,,,,,,
,239,15 April 2026,20.35,L1,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp R. VIP I (21,0) Diff Temp 17,9) dan R. VIP II (21,2) Diff Temp 16,5)","Pengecekan temperatur area, ",,,Done,,SHABU - SHABU HOUSE,,,,,,,
,240,16 April 2026,12.33,L5,FCU,,,,,,Ruangan Panas,"Motor FCU saat ini sudah di lepas dan akan di rewinding, unit saat ini tidak bisa running",,segera dilakukan penggantian motor,,,,SUSHI - TEI,,,,,,,
,241,17 April 2026,09.41,LB,FCU,,,,,,AC Mati,,,,,,,KITCHENETTE,,,,,,,
,242,17 April 2026,11.48,L3,FCU,,,,,,Ruangan Panas,"Motor FCU saat ini sudah di lepas dan akan di rewinding, unit saat ini tidak bisa running",,segera dilakukan penggantian motor,,pending,,RR CHOCOLATE,,,,,,,
,243,17 April 2026,12.51,L3,FCU,,,,,,AC Mati,"Motor FCU saat ini sudah di lepas dan akan di rewinding, unit saat ini tidak bisa running",sudah dilakukan penggantian motor fcu,,,done,,IBOX,,,,,,,
,244,17 April 2026,16.42,L1,FCU,,,,,,Kebocoran,"kebocoran disebabkan tersumbat lendir,sehingga air meluap dari bakdrain",sudah dilakukan pemakuman pada titik kebocoran hingga kering,,,Done,,COACH,,,,,,,
,245,18 April 2026,09.45,L3,FCU,,,,,,Non AC,"L3 Bam Senju (AC Bocor), Kebocoran berasal dari tetesan kondensai bak drain dan pipa chiller", dilakukan pemakuman dan pemasangan armaflex,,,Done,,BAM SENJU,,,,,,,
,246,18 April 2026,13.09,L2,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp : R. Depan 24,4 (Diff Temp 19,3), R. Tengah 24,7 (Diff Temp 18,6), R. Kanan 25,1 (Diff Temp 19,7) dan R. Kiri 25,2 (Diff Temp 19,6)","Pengecekan temperatur area, ",Dijadwalkan PM AC  19 April 2026 sesuai permintaan BM,,Done,,PAUL BAKERY,,,,,,,
,247,18 April 2026,15.03,L1,FCU,,,,,,Ruangan Panas,,,,,,,TOD'S,,,,,,,
,248,18 April 2026,16.43,L1,FCU,,,,,,Ruangan Panas,,,,,,,BATHING APE,,,,,,,
,249,19 April 2026,11.33,L4,FCU,,,,,,Kebocoran,"Hasil Pengecekan baut nampan Bak Drain lepas, sehingga Bak Drain miring sebelah",Dilakukan pemakuman dan pemasangan kembali baut bak drain,,,Done,,BMF CLINIK,,,,,,,
,250,19 April 2026,11.40,L1,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp : R. Belakang 23,1 (Diff Temp 17,9), R. VIP 24 (23,4 (Diff  Temp 17,5), R. VIP 23 (23,5 (Diff Temp 19,5) dan R. Kanan 23,0 (Diff Temp 20,6)","Pengecekan temperatur area, ",,,Done,,SHABU - SHABU HOUSE,,,,,,,
,251,19 April 2026,12.36,L2,FCU,,,,,,Ruangan Panas,AC Panas disebabkan karena 1 unit AC mati (2 Motor Short body),Pengecekan unit AC,Penggantian 2 motor merk YORK SBH 100 DW,,Pending,,BEBEK BENGIL,,,,,,,
,252,19 April 2026,12.36,L1,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp : R. Depan 25,0 (Diff Temp 21,9), R. Tengah 25,1 (Diff Temp 19,7)","Pengecekan temperatur area, ",,,done,,SUSHI - TEI,,,,,,,
,253,19 April 2026,14.09,L1,FCU,,,,,,Ruangan Panas,"Hasil Pengecekan Room Temp : R. Depan 22,2 (Diff.Temp 18,3), Gudang 22,9 (Diff Temp 18,3), dan R. Tengah 22,4 (Diff Temp 17,0)","Pengecekan temperatur area, ",,,Done,,TOD'S,,,,,,,
,254,20 April 2026,12.12,L5,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp : R. Dine In 24,4 (Diff Temp 20,8), dan R. Depan Bar Kitchen 25,8 (Diff Temp 20,7) dan R. Tengah 25,2 (Diff Temp 20,0)","Pengecekan temperatur area, ",,,,,ISHIGAMAYA,,,,,,,
,255,20 April 2026,13.05,L3,FCU,,,,,,Non AC,Kebocoran berasal dari tetesan kondensasi bawah nampan bak drain dan pipa line drain (Note : pipa line drain tidak ter isolasi insulflex),Pengecekan sumber kebocoran dan pemakuman kondensasi,perbaikan/isolasi pada pipa line drain yg tidak ter isolasi insulflex,,Done,,BAM SENJU,,,,,,,
,256,20 April 2026,19.30,L2,FCU,,,,,,Non AC,kebocoran berasal dari pipa pvc yang keluar dari tenan sebelah.,sudah dilakukan pemakuman pada titik kebocoran hingga kering.dan untuk sementara lobang pipa ditutup lakban,,,Done,,AIGNER,,,,,,,
,257,21 April 2026,10.31,L5,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp : Kitchen belakang 26,1 (Diff Temp 20,8) dan Kitchen depan 26,1 (Diff Temp 19,4)","Pengecekan temperatur area, ",,,done,,SUSHI - TEI,,,,,,,
,258,21 April 2026,11.02,L3,FCU,,,,,,AC Mati,sudah dilakukan pengecekan unit dan motor.temuan satu motor secara pengecekan tahanan motor terlalu tinggi.saat ini hanya satu motor yg berfungsi.,Pengecekan unit AC,Penggantian Motor MC QUAY MDB 75,,Pending,,RR CHOCOLATE,,,,,,,

,259,21 April 2026,13.00,L3,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp : Area dalam 24,4 (Diff Temp 21,6) dan Area Corridor 23,1 (Diff Temp 22,3)","Pengecekan temperatur area, dan untuk pengecekan ke Unit pihak tenant ibu ani. mengijinkan di jam 19.00",Pengecekan ke unit ,,Done,,JOE & DOUGH,,,,,,,
,260,22 April 2026,12.09,L1,FCU,,,,,,Non AC,pengecekan ac noise disebabkan karena tenant bebk bengil sedang melakukan rigid,,,,Done,,JADE,,,,,,,
,261,22 April 2026,19.30,L1,FCU,,,,,,AC Noise,"AC noise disebabkan karena tutup ducting supply tidak rapat,dan sudah dilakukan penutupan menggunkana metalizing",,,,Done,,SHABU SHABU House,,,,,,,
,262,22 April 2026,12.15,L5,FCU,,,,,,Kebocoran,setelah di lakukan pengecekan ac bocor di sebabkan body unit kondisi kropos,semetara sudah dilakukan perbaikan body unit yang kropos dengan menambal menggunakan sealanT,Ganti unit FCU,,Done,,SATE KHAS SENAYAN,,,,,,,
,263,22 April 2026,22;00,L5,FCU,,,,,,AC Mati,setelah dilakukan pengecekan ac mati disebabkan kabel pada mcb terdapat 2 power,  dilaukan penarikan kabel mcb oleh pihak teknisi tenant dan ac sudah running kembali,,,Done,,TERAS BY PLATARAN,,,,,,,
,264,23 April 2026,20:41,L1,FCU,,,,,,Non AC,kebocoran berasal dari tetesan pipa chiller yg ga masuk ke bakdrain,untuk saat ini titik kebocoran sudah dilakukan tindakan menyambung talang armaplek ke bakdrain,perbaikan isolasi pipa chiller,,Done,,RIMOWA,,,,,,,
,265,24 April 2026,13.41,L1,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp : Pintu Masuk 23,0 (Diff Temp 19.8), R. Kanan 22.8 (Diff Temp 18.5) dan R. Kiri 22.5 (Diff Temp 19,2)","Pengecekan temperatur area, ",,,Done,,GUCCI,,,,,,,
,266,24 April 2026,14.22,L3,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp : R. Kanan 23,8 (Diff Temp 21,9) dan R. Kiri 24,1 (Diff Temp 22,1)","Pengecekan temperatur area, ",dilakukan cuci ulang tanggal 26 april 2026,,done,,L'OCCITANE,,,,,,,
,267,24 April 2026,15.03,L1,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp : R. Depan kanan 24,2 (Diff Temp 22,7), R. Depan kiri 24,8 (Diff Temp 24,4), R. Tengah 24,7 (Diff Temp 23,3)  ","Pengecekan temperatur area, ",dilakukan cuci ulang tanggal 26 april 2026 2 unit diatas barisol,,done,,BATHING APE,,,,,,,
,268,24 April 2026,15.04,L3,FCU,,,,,,Non AC,Hasil pengecekan tidak ada kebocoran,Dilakukan pengecekan pada sumber kebocoran,,,Done,,YAMAHA MUSIC,,,,,,,
,269,24 April 2026,16.40,L1,FCU,,,,,,Non AC,"Hasil pengecekan unit AC Trouble bukan unit AC FCU, melainkan unit AC Split Wall milik Tenant",Konfirmasi BM,,,Done,,CHRISTIAN LOUBOUTIN,,,,,,,
,270,25 April 2026,12:36,L1,FCU,,,,,,Ruangan Panas,"hasil pengecekan tempt area fitting room 21,4 diffuser 16.0,area tengah 22.0 diffuser 15,5,area gudng 22.0 diffuser14,5",normal temaperatur,,,done,,LONG CHAMP,,,,,,,
,271,25 April 2026,15:38,L1,FCU,,,,,,Ruangan Panas,"AC panas karena 1 unit dalam kondisi off dan bantu turn on dengan tempt diffuser depan kanan 19,4 area 21,2. depan kiri diffuser 18,8 area 20,7. area tengah diffuser 19,4 area 21,4",temperatur normal,,,done,,Saint Laurent,,,,,,,
,272,25 April 2026,19;40,L1,FCU,,,,,,Ruangan Panas,pengecekan suhu tempt diffuser rata-rata16 derajat untuk area 24 derajat karena kondisi sedang ramai,pengecekan temperatur area,,,done,,CORK & SCREW,,,,,,,
,273,26 April 2026,11:00,L1,FCU,,,,,,Kebocoran,pengecekan kebocoran berasal dari bak drain yang meluap karena tersumbat sehingga air kondenser berbalik,"bantu pemvacuman pada bak drain,venting dan riser yang mengarah ke AHU tenant Burberry",,,done,,chloe,,,,,,,
,274,26 April 2026,13:40,L1,FCU,,,,,,Ruangan Panas," telah di lakukan pengecekan temperatur  area kanan diff  : 15,9°c room : 23,5°c area depan kanan diff  : 16,3°c room : 23,1°c area tengah diff : 16,9°c room : 21,9°c dari duct ting supply : 20,8°c area tengah kiri diff : 17,8°c room : 22,6°C area kiri 20,8 room : 22,1°c area depan gudang diff : 19,5°c room : 22,5°c",pengecekan temperatur area,,,,,Gucci,,,,,,,
,275,26 April 2026,15:14,LB,FCU,,,,,,Ruangan Panas,telah di lakukan pengecekan  unit kotor dan tidak terpasang filter udara dan tidak bisa chek evap dalam dikarnakan akses sempit,dilakukan servie tanggal 27 April 2026,,,Done,,EXCELSO,,,,,,,
,276,26 April 2026,18:45,L1,FCU,,,,,,Kebocoran,telah dilakukan pengecekan untuk kebocoran berasal dari unit AC yang masih kotor ngeblok,dilakukan service tanggal 27 April 2026,,,done,,coridor timur,,,,,,,

,277,27 April 2026,10:50,P2,fcu,,,,,,Ruangan Panas,"setelah di check ac mati kabel power kondisi sudah dilepas,dan di lakukan pencekan kabel motor shot body MCC 60",,,,pending,,coridor escalator timur,,,,,,,
,278,27 April 2026,18:50,L2,,,,,,,Non AC,leaking berasal dari spairing pipa tenant atas,,,,done,,DIOR,,,,,,,
,279,28 April 2026,11:51,L3,FCU,,,,,,Kebocoran,leaking area back office tenant crown karena air balik dari line drain AC yg tidak mengalir ke riser area tenant benteng dan line drain tersumbat,,,,done,,CROWN,,,,,,,
,280,28 April 2026,19:05,L5,FCU,,,,,,Kebocoran,"setelah dilkukan pengecekan ac bocor disebabkan body unit yang kropos,sudah dilakukan pemakuman dan menambal body unit yang kropos menggunakan sealan",,,,done,,SATE KHAS SENAYAN,,,,,,,
,281,29 April 2026,13:29,L1,FCU,,,,,,Ruangan Panas,dilakukan cek tempt untuk area 22.0 dikarenakan pintu timur the plaza terus terbuka,,,,done,,BISTRO BARON,,,,,,,
,282,,,,,,,,,,,,,,,,,,,,,,,,
,283,,,,,,,,,,,,,,,,,,,,,,,,
,284,,,,,,,,,,,,,,,,,,,,,,,,
,285,,,,,,,,,,,,,,,,,,,,,,,,
,286,,,,,,,,,,,,,,,,,,,,,,,,
,287,,,,,,,,,,,,,,,,,,,,,,,,
,288,,,,,,,,,,,,,,,,,,,,,,,,
,289,,,,,,,,,,,,,,,,,,,,,,,,
,290,,,,,,,,,,,,,,,,,,,,,,,,
,291,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,total komplain,137,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Ruangan Panas,72,,,,,,,,,,,,
,,,,,,,,,,,,Kebocoran,19,,,,,,,,,,,,
,,,,,,,,,,,,Non AC,24,,,,,,,,,,,,
,,,,,,,,,,,,AC Noise,8,,,,,,,,,,,,
,,,,,,,,,,,,AC MAti,13,,,,,,,,,,,,

