Source: https://docs.google.com/spreadsheets/d/1BvEiTJVE7np-FOoj2qPwpvIGKJneQHX3VoA6LgKcM8k/export?format=csv

---

Control+A,,,,,,,,,,,,,,,,,,A:Z,,,,,,,
,No,Tanggal,Jam Complaint,Lantai,Jenis Unit,Tag No.,Brand,Model,Nama Teknisi,Nama Supervisor,Kategori ,Root Cause Analysis,Corrective Action,Rekomendasi,Last PM,Status,,Tenant / Area,,,,,,,
,44,08 Maret 2026,,P2,AHU,,PANASONIC,CU-YN9WKJ,Andri,,Ruangan Panas,Tekanan refrigerant pada unit berkurang tinggal 95 psi.,Telah dilakukan penambahan refrigerant pada unit sehingga mencapai tekanan ideal.,,8 Maret 2026,Closed,,Ruang Call Center,,,,,,,

,45,09 Maret 2026,,L3,FCU,,,,,,Kebocoran,Kebocoran terjadi karena ducting supplu air terbawa blower karena evaporator kotor,Telah dilakukan pemvacuman hingga kering pada area titik kebocoran,Monitoring untuk memastikan pengerjaan AC bocor tuntas.,,Done,,Designer Workshop,,,,85,,,
,46,09 Maret 2026,,L1,FCU,,,,,,Kebocoran,Kebbocoran berasal dari bak drain yang meluap,Telah dilakukan pemvacuman pada area titik kebocoran hingga kering,,,Done,,Valentino,,,,33,,,
,47,09 Maret 2026,,L4,FCU,,,,,,Kebocoran,Kebocora berasal dari pipa airventing terlalau rendah dari unit,Telah dilakukan perbaikan sementara dengan penutupan airventing menggunakan solasi,Perbaikan atau perubahan pada pipa airventing.,,done,,Headline,,,,,,,
,48,09 Maret 2026,,P2,SPLIT,,,,Sarifuddin,,Ruangan Panas,Ruangan panas karena refrigeran berkurang.,Telah dilakukan penambahan refrigerant pada unit sehingga mencapai tekanan ideal.,"Pengecekan kebocoran pada evaporator, instalasi dan kondensor.",9 Maret 2026,Closed,,Corridor Lift 7-8,,,,,,,
,49,09 Maret 2026,,P2,SPLIT,Unit 2,,,Sarifuddin,,Ruangan Panas,Ruangan panas karena refrigeran berkurang.,Telah dilakukan penambahan refrigerant pada unit sehingga mencapai tekanan ideal.,,,Closed,,Ruang Mesin Lift 1-2,,,,,,,
,50,09 Maret 2026,,P3,SPLIT,,,,Andri,,Ruangan Panas,"Ruangan panas karena tekanan refrigeran berkurang, diakibatkan ada kebocoran pada evaporator",,Penggantian indoor,Pending,,,Locker Aeon,,,,,,,
,51,10 Maret 2026,,L3,FCU,,,,,,Ruangan Panas,,"Telah dilakukan pengecekan temperature, dengan hasil sbb: Hall kanan : 26.1 VIP sebelah kiri : 24.8 VIP sebelah kanan : 24.5 Hall samping: 21.6 Hall depan : 21.6",,,,,Soup Restaurant,,,based on floor,Ruangan Panas,Kebocoran,,
,52,10 Maret 2026,,L3,FCU,,,,,,Non AC,Kebocoran berasal dari kondensasi pipa chiller ,"Telah dilakukan perbaikan dengan dibaluti metalizing, dan dilakukan pemvacuman hingga kering.",,,,,OadKids,,,L1,18,6,,
,53,10 Maret 2026,,L1,FCU,,,,,,Ruangan Panas,AC kurang dingin disebabkan 1 unit motor fan short body. type MC QUAY MCC60,"Telah dilakukan dilakukan pengecekan thermostat. pengecekan MCB, pengecekan instalasi kabel fan motor",Penggantian fan motor type MC QUAY MCC60,11 Feb 2026,,,Tory Burch,,,L2,3,1,,
,54,10 Maret 2026,,L4,AHU,,,,,,Kebocoran,Ruangan tergenang karena saluran drain terhalang lendir.,Telah dilakukan penyedotan dan pembersihan serta pengeringan area terdampak.,,,Closed,,AHU L4-08,,,L3,7,7,,
,55,10 Maret 2026,,L4,AHU,,,,,,AC Noise,V Belt sudah kendur,"Penggantian V Belt (Type A 87), namun tidak maksimal karena pinggiran pully sudah patah.",Penggantian pully,19 Januari 2026,Closed,,AHU L4-09,,,L4,6,8,,
,56,11 Maret 2026,,L3,FCU,,,,,,Ruangan Panas,"Motorize keadaan off, plat penyangga lepas, Motorize sudah dimanual, flexible supply ada yang tidak terpasang grill dan tidak mengarahke ruangan.","Perbaikan pentil motorize karna harus keadaan menekan kebawah / on chiller supply, Menutup flexible supply agar flow tidak terbuang di atas, Pengecekan chws 10.9° chwr 20.8°, Return flow 1.6m/s, Flow diffuser dari 0.0 m/s menjadi 1.8 m/s, Diffuser 22.6 karna chiller off di jam 22.10 WIB",,,,,Soup Restaurant,,,L5,4,2,,
,57,11 Maret 2026,,L1,FCU,,,,,,Ruangan Panas,"AC kurang dingin No.1 area kanan telah ditemukan flexible return ada beberapa yang rusak, kondisi evaporatoe return kering, valve terbuka full, flexible supply cukup baik. Unit no.2 area kanan valve terbuka full kondisi evaporator kering, kondisi flexible cukup baik. Unit no.3  ",,,,,,Bathing Ape,,,L6,1,0,,
,58,11 Maret 2026,,L5,FCU,,,,,,Kebocoran,"Kebocoran berasal dari pipa line drain yang tersumbat lendir, hingga menyebabkan air menggenang di bak drain",Telah dilakukan pemvacuman di bak drain dan pada pipa yang tersumbat,,,,,R. Chiller PIE,,,P1,0,1,,
,59,11 Maret 2026,,L1,AHU,,,,,,Ruangan Panas,"Ruangan panas karena AHU tidak running, thermostat tidak ditemukan di ruang sebelahnya.",Sudah dikoordinasikan ke BM karena menyangkut pekerjaan konstruksi di ruangan sebelah tempat biasa thermostat dipasang.,,,Done,,Channel Perfumme,,,P2,9,7,,
,60,11 Maret 2026,,L1,SPLIT,,,,,,Kebocoran,Kebocoran disebabkan karena line drain gudang LV tersumbat lendir dan air meluap,Sudah dilakukan pemakuman pada line drain dan lokasi sekitar telah dikeringkan.,,2 Maret 2026,Closed,,Pantry Bawah,,,P3,3,0,,

,61,11 Maret 2026,,L4,AHU,,,,,,Kebocoran,Area AHU tergenang air karena terjadi sumbatan material padat pada saluran pembuangan air.,"Telah dilakukan pembersihan terhadap saluran pembuangan air, dilakukan pemakuman ulang pada line drain dan bak AHU.","Sebaiknya ruangan AHU tidak diakses pihak selain yang berkepentingan, dan jika ada pekerjaan sipil di lokasi tidak meninggalkan sisa material atau membuang material di lokasi",,,,AHU P4-07,,,P4,0,1,,
,62,12 Maret 2026,,L5,FCU,,,,,,AC Noise,AC Noise disebabkan dari gril supply yang kurang rapat sehingga menyebabkan noise,"Telah dilakukan perbaikan pada gril yang kurang rapat, sehingga sudah tidak noise lagi.",,11 Maret 2026,,,WOLFGANG,,,P5,0,0,,
,63,12 Maret 2026,,P2,FCU,,,,,,Kebocoran,AC bocor disebabkan bak drain FCU mampet,Telah dilakukan pemvacuman hingga kering pada area kebocoran,,,,,Masjid P2,,,LB,4,4,,
,64,12 Maret 2026,,L1,SPLIT DUCT,,,,,,Kebocoran,Kebocoran disebabkan oleh elevasi line drain yang menanjak,Telah dilakukan pemakuman pada bak drain dan line drain,,,Closed,,Osteria Gia,,,,,,,
,65,13 Maret 2026,,L1,FCU,,,,,,Ruangan Panas,,,,,,,Mondial,,,,,,,
,66,13 Maret 2026,,L1,FCU,,,,,,Ruangan Panas,,,,,,,Chloe,,,,,,,
,67,13 Maret 2026,,P1,SPLIt,,,,"Andri, Anel",,Kebocoran,Terjadi kebocoran pada saluran drain karena tersumbat,Sudah dilakukan pemakuman pada line drain,,,Closed,,Ruang Driver,,,,,,,
,68,13 Maret 2026,,P3,SPLIT,,,,Sarifuddin,,AC Mati,Ditemukan ada kerusakan pada remote sehingga kesulitan mengoperasikan unit,Telah dilakukan penggantian remote dengan remote lain sisa unit rusak yang setipe. Unit kembali bisa running,,,Closed,,Color Wash,,,,,,,
,69,14 Maret 2026,,,FCU,,,,,,Ruangan Panas,Pengecekan AC kurang dingin dan Noise,"Setelah dilakukan pengecekan AC noise tidak ada, dan hasil temperature ruangan dan diffuser sbb: Area kiri Temp:23.1 Diff : 20.6 Area kanan Temp: 22.9 Diff: 18.5 Area tengah Temp: 22.9 Diff: 18.5 Area depan Temp: 23.1 Diff: 20.6",,,,,Perry Plus,,,,,,,
